155459,Thottoor PHC,Thottoor Vattappara - Veliyanadu Rd Kaipattoor Kerala,Kerala,Ernakulam,Keechery CHC,682313,9,76
569943,GMTH Karuvelipadi Hospital,Moulana Azad Rd Karuvelipady Thoppumpady Kochi Kerala,Kerala,Ernakulam,Kumbalangi CHC,682005,9,76
566031,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,Kerala,Ernakulam,Ankamali TH,683576,10,76
155153,Karimalloor FHC,VarappuzhaErnakulamKeralaIN,Kerala,Ernakulam,Varappuzha CHC,683511,10,76
155312,Koothattukulam CHC,MuvattupuzhaErnakulamKeralaIN,Kerala,Ernakulam,Pampakuda CHC,686662,9,76
155363,Fortkochi THQH,Fortkochi THQH Cochi Ernakulam KeralaIN,Kerala,Ernakulam,Kumbalangi CHC,682001,9,76
155257,Puthuvyppu PHC,Primary Health CentrePuthuvype Kochi Kerala,Kerala,Ernakulam,Malipuram CHC,682508,9,76
155318,Ezhikkara CHC,Chathanad Rd Ezhikkara North Paravur Kerala,Kerala,Ernakulam,Ezhikara CHC,683513,10,76
155179,Varappetty CHC,VarapettyErnakulamKeralaIN,Kerala,Ernakulam,Varappetty CHC,686691,10,76
643743,Arakunnam PHC,Arakunnam PHC Rd Arakkunnam Kerala 682313,Kerala,Ernakulam,Keechery CHC,682313,9,76
161317,Asamannoor PHC,Asamannoor FWC Chrukunnam PO,Kerala,Ernakulam,Vengoor CHC,683549,10,76
155151,Ayavana PHC,MuvattupuzhaErnakulamKeralaIN,Kerala,Ernakulam,Pandappilly CHC,686668,9,76
155507,Choornikkara PHC,MalayadamthuruthChoornikara Ernakulam,Kerala,Ernakulam,Malayadamthuruth CHC,682011,10,76
155300,Cheruvattor PHC,VarapettyErnakulamKeralaIN,Kerala,Ernakulam,Varappetty CHC,686691,10,76
155514,Town Hall Ernakulam,North Kaloor Kacheripady,Kerala,Ernakulam,Cheranalloor PHC,682035,9,76
155379,Valakom PHC,MuvattupuzhaErnakulamKeralaIN,Kerala,Ernakulam,Pandappilly CHC,682316,9,76
580966,Lakshmi Hospital Aluva,Mezhukkattil Building Sub Jail Rd Opp. Zeenath Theatre Aluva,Kerala,Ernakulam,Malayadamthuruth CHC,683101,10,76
580546,CHC Vengola,Vengola Ernakulam Kerala,Kerala,Ernakulam,Malayadamthuruth CHC,683556,10,76
155225,Njarackal Taluk Hospital,Hospital Rd Vypin Kochi Kerala,Kerala,Ernakulam,Malipuram CHC,682505,10,76
579218,Lakshmi Hospital Ernakulam,Lakshmi Hospital Divans Rd Pallimukku Kochi,Kerala,Ernakulam,Nettoor PHC,682016,9,76
